problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt,20,45,4,largest_gap,True,2.796,2796.0,1503.44
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt,20,45,4,traversal,True,2.932,2932.0,222.369
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt,20,45,5,optimal,True,2.824,2823.67,11.552
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt,20,45,5,largest_gap,True,2.988,2988.0,730.986
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt,20,45,5,traversal,True,3.161,3161.0,11.428
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt,20,45,6,optimal,True,2.326,2325.94,26.764
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt,20,45,6,largest_gap,True,2.454,2453.57,205.233
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt,20,45,6,traversal,True,2.7,2699.53,2656.23
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt,20,45,7,optimal,True,2.064,2063.57,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt,20,45,7,largest_gap,True,2.213,2213.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt,20,45,7,traversal,True,2.296,2295.67,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-8.txt,20,45,8,optimal,True,2.808,2808.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-8.txt,20,45,8,largest_gap,True,3.028,3028.0,3600.0
